nama,nip,satker,jabatan,kinerja,kompetensi,standar level,nilai,gap,aspek,feedback_terakhir,saran_pengembangan,is_dummy
dummy 1,null,null,null,baik,integritas,5,3,-2,pengetahuan,efektif,pelatihan kode etik dan kode perilaku,1
dummy 1,null,null,null,baik,integritas,5,3,-2,keahlian,sangat efektif,bimbingan teknis,1
dummy 1,null,null,null,baik,integritas,5,3,-2,personal atribute,efektif,konseling,1
dummy 1,null,null,null,baik,kerjasama,5,3,-2,pengetahuan,tidak efektif,pembelajaran mandiri,1
dummy 1,null,null,null,baik,kerjasama,5,3,-2,keahlian,efektif,pelatihan lemhannas,1
dummy 1,null,null,null,baik,kerjasama,5,3,-2,personal atribute,kurang efektif,konseling,1
dummy 1,null,null,null,baik,komunikasi,5,3,-2,pengetahuan,kurang efektif,seminar nasional,1
dummy 1,null,null,null,baik,komunikasi,5,3,-2,keahlian,efektif,penugasan ,1
dummy 1,null,null,null,baik,komunikasi,5,3,-2,personal atribute,sangat efektif,umpan balik,1
dummy 1,null,null,null,baik,orientasi pada hasil,5,3,-2,pengetahuan,efektif,pelatihan nasional,1
dummy 1,null,null,null,baik,orientasi pada hasil,5,3,-2,keahlian,sangat efektif,coaching,1
dummy 1,null,null,null,baik,orientasi pada hasil,5,3,-2,personal atribute,sangat efektif,umpan balik,1
dummy 1,null,null,null,baik,pelayanan publik,5,3,-2,pengetahuan,efektif,workshop,1
dummy 1,null,null,null,baik,pelayanan publik,5,3,-2,keahlian,kurang efektif,penugasan ,1
dummy 1,null,null,null,baik,pelayanan publik,5,3,-2,personal atribute,efektif,umpan balik,1
dummy 1,null,null,null,baik,pengambilan keputusan,5,3,-2,pengetahuan,efektif,patok banding,1
dummy 1,null,null,null,baik,pengambilan keputusan,5,3,-2,keahlian,sangat efektif,studi kasus,1
dummy 1,null,null,null,baik,pengambilan keputusan,5,3,-2,personal atribute,efektif,umpan balik,1
